Entity,Code,Year,Life expectancy,World region according to OWID,Life expectancy (Annotations)
Afghanistan,AFG,1950,31.55,Asia,
Afghanistan,AFG,1955,32.8,Asia,
Afghanistan,AFG,1960,34.61171,Asia,
Afghanistan,AFG,1965,36.82049,Asia,
Afghanistan,AFG,1970,38.4,Asia,
Afghanistan,AFG,1975,39.4,Asia,
Afghanistan,AFG,1980,40.5,Asia,
Afghanistan,AFG,1985,41.5,Asia,
Afghanistan,AFG,1990,45.9672,Asia,
Afghanistan,AFG,1995,52.5442,Asia,
Afghanistan,AFG,2000,55.2978,Asia,
Afghanistan,AFG,2005,58.3608,Asia,
Afghanistan,AFG,2010,60.8508,Asia,
Afghanistan,AFG,2015,62.6587,Asia,
Afghanistan,AFG,2020,62.5751,Asia,
Albania,ALB,1870,26.633135,Europe,
Albania,ALB,1880,27.295284,Europe,
Albania,ALB,1890,28.325294,Europe,
Albania,ALB,1900,29.723166,Europe,
Albania,ALB,1913,32.01525,Europe,
Albania,ALB,1925,33.494015,Europe,
Albania,ALB,1929,35.712162,Europe,
Albania,ALB,1933,37.04305,Europe,
Albania,ALB,1938,38.3,Europe,
Albania,ALB,1950,55.25,Europe,
Albania,ALB,1955,57.89,Europe,
Albania,ALB,1960,60.60488,Europe,
Albania,ALB,1965,62.38049,Europe,
Albania,ALB,1970,65.36098,Europe,
Albania,ALB,1975,67.8439,Europe,
Albania,ALB,1980,69.656,Europe,
Albania,ALB,1985,71.338,Europe,
Albania,ALB,1990,73.1439,Europe,
Albania,ALB,1995,74.3616,Europe,
Albania,ALB,2000,75.4043,Europe,
Albania,ALB,2005,76.6208,Europe,
Albania,ALB,2010,77.9359,Europe,
Albania,ALB,2015,78.6441,Europe,
Albania,ALB,2020,76.9893,Europe,
Algeria,DZA,1870,25,Africa,
Algeria,DZA,1880,25,Africa,
Algeria,DZA,1890,25,Africa,
Algeria,DZA,1900,26.581661,Africa,
Algeria,DZA,1913,28.8224,Africa,
Algeria,DZA,1925,28.8224,Africa,
Algeria,DZA,1929,30.698612,Africa,
Algeria,DZA,1933,31.2,Africa,
Algeria,DZA,1938,33.72,Africa,
Algeria,DZA,1950,43.15,Africa,
Algeria,DZA,1955,45.75,Africa,
Algeria,DZA,1960,47.28439,Africa,
Algeria,DZA,1965,50.18439,Africa,
Algeria,DZA,1970,53.25512,Africa,
Algeria,DZA,1975,56.27561,Africa,
Algeria,DZA,1980,59.626,Africa,
Algeria,DZA,1985,63.694,Africa,
Algeria,DZA,1990,67.416,Africa,
Algeria,DZA,1995,67.4544,Africa,
Algeria,DZA,2000,70.4779,Africa,
Algeria,DZA,2005,72.0612,Africa,
Algeria,DZA,2010,73.8081,Africa,
Algeria,DZA,2015,75.622,Africa,
Algeria,DZA,2020,74.4528,Africa,
Angola,AGO,1870,25,Africa,
Angola,AGO,1880,25,Africa,
Angola,AGO,1890,25,Africa,
Angola,AGO,1900,25,Africa,
Angola,AGO,1913,25,Africa,
Angola,AGO,1925,25,Africa,
Angola,AGO,1929,25,Africa,
Angola,AGO,1933,25,Africa,
Angola,AGO,1938,27,Africa,
Angola,AGO,1950,30.05,Africa,
Angola,AGO,1955,32.05,Africa,
Angola,AGO,1960,33.1839,Africa,
Angola,AGO,1965,35.16341,Africa,
Angola,AGO,1970,37.19268,Africa,
Angola,AGO,1975,39.2122,Africa,
Angola,AGO,1980,40.547,Africa,
Angola,AGO,1985,41.199,Africa,
Angola,AGO,1990,41.8933,Africa,
Angola,AGO,1995,45.8491,Africa,
Angola,AGO,2000,46.0236,Africa,
Angola,AGO,2005,51.5699,Africa,
Angola,AGO,2010,56.7258,Africa,
Angola,AGO,2015,60.6546,Africa,
Angola,AGO,2020,62.2612,Africa,
Argentina,ARG,1870,31.832973,South America,
Argentina,ARG,1880,32.9,South America,
Argentina,ARG,1890,36.45,South America,
Argentina,ARG,1900,39,South America,
Argentina,ARG,1913,45.73314,South America,
Argentina,ARG,1925,49.61047,South America,
Argentina,ARG,1929,51.102722,South America,
Argentina,ARG,1933,52.641148,South America,
Argentina,ARG,1938,54.63143,South America,
Argentina,ARG,1950,62.5,South America,
Argentina,ARG,1955,64.4,South America,
Argentina,ARG,1960,65.15952,South America,
Argentina,ARG,1965,65.77268,South America,
Argentina,ARG,1970,66.80927,South America,
Argentina,ARG,1975,68.17756,South America,
Argentina,ARG,1980,69.528,South America,
Argentina,ARG,1985,70.647,South America,
Argentina,ARG,1990,71.7837,South America,
